Rank,ProductId,ProductName,Variant,TotalQtySold,ActiveDays,OutletCoverage,GlobalSparsity,AvgOutletSparsity,MaxOutletSparsity
1,50,Friendly Coffee,Ice,715,253,3,0.06985294117647056,0.43504901960784315,0.5919117647058824
2,49,Friendly Coffee,Hot,708,241,3,0.11397058823529416,0.4485294117647059,0.5955882352941176
3,6,Americano,Hot Arabica,706,244,3,0.1029411764705882,0.4485294117647059,0.5735294117647058
4,25,Butterscotch,-,701,250,3,0.08088235294117652,0.44607843137254904,0.6213235294117647
5,79,Shakencano,-,699,251,3,0.07720588235294112,0.44607843137254904,0.5625
6,5,Americano,Ice Houesblend,686,251,3,0.07720588235294112,0.4497549019607843,0.6102941176470589
7,56,Happy Moca,Hot,680,252,3,0.07352941176470584,0.45465686274509803,0.6029411764705883
8,80,Sitrus Cafe,-,674,245,3,0.09926470588235292,0.4522058823529411,0.5992647058823529
9,88,Vanilla Latte,-,673,247,3,0.09191176470588236,0.45098039215686275,0.5845588235294117
10,8,Apple Pie Latte,-,670,250,3,0.08088235294117652,0.4656862745098039,0.6139705882352942
11,43,Espresso Houseblend,Basic Espresso,667,245,3,0.09926470588235292,0.46446078431372556,0.6176470588235294
12,18,Basic Latte,Ice Arabica,666,249,3,0.0845588235294118,0.46078431372549017,0.6029411764705883
13,57,Happy Moca,Ice,664,246,3,0.09558823529411764,0.47671568627450983,0.6213235294117647
14,30,Cappuccino,Hot Arabica,661,253,3,0.06985294117647056,0.4436274509803922,0.6139705882352942
15,15,Basic Latte,Hot Arabica,659,242,3,0.11029411764705888,0.46813725490196084,0.6066176470588236
