Date,Outlet,ProductId,ProductName,Variant,Category,QuantitySold,day_of_week,day_of_month,month,is_weekend,lag_1,lag_2,lag_3,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_sum_7,zero_days_7
2025-01-16,SHOP001,5,Americano,Ice Houesblend,Coffee,2,3,16,1,0,2.0,2.0,0.0,0.0,1.0,1.2857142857142858,1.2857142857142858,9.0,2.0
2025-01-17,SHOP001,5,Americano,Ice Houesblend,Coffee,1,4,17,1,0,2.0,2.0,2.0,1.0,1.0,1.5714285714285714,1.3571428571428572,11.0,1.0
2025-01-18,SHOP001,5,Americano,Ice Houesblend,Coffee,1,5,18,1,1,1.0,2.0,2.0,1.0,0.0,1.5714285714285714,1.3571428571428572,11.0,1.0
2025-01-19,SHOP001,5,Americano,Ice Houesblend,Coffee,0,6,19,1,1,1.0,1.0,2.0,3.0,1.0,1.5714285714285714,1.4285714285714286,11.0,1.0
2025-01-20,SHOP001,5,Americano,Ice Houesblend,Coffee,0,0,20,1,0,0.0,1.0,1.0,0.0,3.0,1.1428571428571428,1.3571428571428572,8.0,2.0
2025-01-21,SHOP001,5,Americano,Ice Houesblend,Coffee,3,1,21,1,0,0.0,0.0,1.0,2.0,1.0,1.1428571428571428,1.1428571428571428,8.0,2.0
2025-01-22,SHOP001,5,Americano,Ice Houesblend,Coffee,2,2,22,1,0,3.0,0.0,0.0,2.0,2.0,1.2857142857142858,1.2857142857142858,9.0,2.0
2025-01-23,SHOP001,5,Americano,Ice Houesblend,Coffee,1,3,23,1,0,2.0,3.0,0.0,2.0,0.0,1.2857142857142858,1.2857142857142858,9.0,2.0
2025-01-24,SHOP001,5,Americano,Ice Houesblend,Coffee,0,4,24,1,0,1.0,2.0,3.0,1.0,1.0,1.1428571428571428,1.3571428571428572,8.0,2.0
2025-01-25,SHOP001,5,Americano,Ice Houesblend,Coffee,1,5,25,1,1,0.0,1.0,2.0,1.0,1.0,1.0,1.2857142857142858,7.0,3.0
2025-01-26,SHOP001,5,Americano,Ice Houesblend,Coffee,1,6,26,1,1,1.0,0.0,1.0,0.0,3.0,1.0,1.2857142857142858,7.0,3.0
2025-01-27,SHOP001,5,Americano,Ice Houesblend,Coffee,0,0,27,1,0,1.0,1.0,0.0,0.0,0.0,1.1428571428571428,1.1428571428571428,8.0,2.0
2025-01-28,SHOP001,5,Americano,Ice Houesblend,Coffee,1,1,28,1,0,0.0,1.0,1.0,3.0,2.0,1.1428571428571428,1.1428571428571428,8.0,2.0
2025-01-29,SHOP001,5,Americano,Ice Houesblend,Coffee,2,2,29,1,0,1.0,0.0,1.0,2.0,2.0,0.8571428571428571,1.0714285714285714,6.0,2.0
2025-01-30,SHOP001,5,Americano,Ice Houesblend,Coffee,1,3,30,1,0,2.0,1.0,0.0,1.0,2.0,0.8571428571428571,1.0714285714285714,6.0,2.0
2025-01-31,SHOP001,5,Americano,Ice Houesblend,Coffee,1,4,31,1,0,1.0,2.0,1.0,0.0,1.0,0.8571428571428571,1.0,6.0,2.0
2025-02-01,SHOP001,5,Americano,Ice Houesblend,Coffee,1,5,1,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0
