OutletId,IngredientId,IngredientName,AvgDailyUsage,CurrentStock,SafetyStock,ReorderPoint,LeadTimeDays,InitialStatus
Outlet_Bandung,ING02,Biji Kopi Houseblend,165.77,1399.1,248.7,746.0,3,AMAN
Outlet_Bandung,ING03,Susu UHT Full Cream,1642.84,1469.4,2464.3,5750.0,2,KRITIS
Outlet_Bandung,ING04,Sirup Gula Aren,42.74,416.9,64.1,277.8,5,AMAN
Outlet_Bandung,ING09,Es Batu,767.74,848.6,1151.6,1919.3,1,KRITIS
Outlet_Bandung,ING12,Cup Ice 16oz,6.4,74.0,9.6,35.2,4,AMAN
Outlet_Bandung,ING14,Straw,6.4,48.5,9.6,35.2,4,AMAN
Outlet_Bandung,ING13,Lid Cup,13.76,127.0,20.6,75.6,4,AMAN
Outlet_Bandung,ING11,Cup Hot 12oz,7.36,53.6,11.0,40.4,4,AMAN
Outlet_Bandung,ING01,Biji Kopi Arabica,81.82,551.1,122.7,368.2,3,AMAN
Outlet_Bandung,ING10,Air Panas/Dingin,84.11,369.0,126.2,210.3,1,AMAN
Outlet_Bandung,ING07,Sirup Butterscotch,14.02,120.6,21.0,91.1,5,AMAN
Outlet_Bandung,ING08,Bubuk Coklat,26.99,259.4,40.5,175.4,5,AMAN
Outlet_Bandung,ING15,Jus Citrus,55.02,362.8,82.5,192.5,2,AMAN
Outlet_Bandung,ING05,Sirup Vanilla,13.62,158.5,20.4,88.5,5,AMAN
Outlet_Bandung,ING06,Sirup Apple Pie,13.4,130.5,20.1,87.1,5,AMAN
Outlet_Jakarta,ING02,Biji Kopi Houseblend,165.77,1365.4,248.7,746.0,3,AMAN
Outlet_Jakarta,ING03,Susu UHT Full Cream,1642.84,11663.8,2464.3,5750.0,2,AMAN
Outlet_Jakarta,ING04,Sirup Gula Aren,42.74,362.8,64.1,277.8,5,AMAN
Outlet_Jakarta,ING09,Es Batu,767.74,3887.0,1151.6,1919.3,1,AMAN
Outlet_Jakarta,ING12,Cup Ice 16oz,6.4,67.9,9.6,35.2,4,AMAN
Outlet_Jakarta,ING14,Straw,6.4,56.5,9.6,35.2,4,AMAN
Outlet_Jakarta,ING13,Lid Cup,13.76,108.9,20.6,75.6,4,AMAN
Outlet_Jakarta,ING11,Cup Hot 12oz,7.36,87.3,11.0,40.4,4,AMAN
Outlet_Jakarta,ING01,Biji Kopi Arabica,81.82,590.2,122.7,368.2,3,AMAN
Outlet_Jakarta,ING10,Air Panas/Dingin,84.11,290.9,126.2,210.3,1,AMAN
Outlet_Jakarta,ING07,Sirup Butterscotch,14.02,126.4,21.0,91.1,5,AMAN
Outlet_Jakarta,ING08,Bubuk Coklat,26.99,361.8,40.5,175.4,5,AMAN
Outlet_Jakarta,ING15,Jus Citrus,55.02,354.8,82.5,192.5,2,AMAN
Outlet_Jakarta,ING05,Sirup Vanilla,13.62,179.3,20.4,88.5,5,AMAN
Outlet_Jakarta,ING06,Sirup Apple Pie,13.4,170.4,20.1,87.1,5,AMAN
Outlet_Surabaya,ING02,Biji Kopi Houseblend,165.77,1329.8,248.7,746.0,3,AMAN
Outlet_Surabaya,ING03,Susu UHT Full Cream,1642.84,12510.9,2464.3,5750.0,2,AMAN
Outlet_Surabaya,ING04,Sirup Gula Aren,42.74,455.8,64.1,277.8,5,AMAN
Outlet_Surabaya,ING09,Es Batu,767.74,3448.7,1151.6,1919.3,1,AMAN
Outlet_Surabaya,ING12,Cup Ice 16oz,6.4,72.0,9.6,35.2,4,AMAN
Outlet_Surabaya,ING14,Straw,6.4,65.4,9.6,35.2,4,AMAN
Outlet_Surabaya,ING13,Lid Cup,13.76,156.9,20.6,75.6,4,AMAN
Outlet_Surabaya,ING11,Cup Hot 12oz,7.36,73.5,11.0,40.4,4,AMAN
Outlet_Surabaya,ING01,Biji Kopi Arabica,81.82,712.1,122.7,368.2,3,AMAN
Outlet_Surabaya,ING10,Air Panas/Dingin,84.11,282.1,126.2,210.3,1,AMAN
Outlet_Surabaya,ING07,Sirup Butterscotch,14.02,137.1,21.0,91.1,5,AMAN
Outlet_Surabaya,ING08,Bubuk Coklat,26.99,273.7,40.5,175.4,5,AMAN
Outlet_Surabaya,ING15,Jus Citrus,55.02,264.1,82.5,192.5,2,AMAN
Outlet_Surabaya,ING05,Sirup Vanilla,13.62,133.6,20.4,88.5,5,AMAN
Outlet_Surabaya,ING06,Sirup Apple Pie,13.4,121.1,20.1,87.1,5,AMAN
